Name,Formula,CAS No,Amount,Location,Notes
(S)-1-(2-Chloroacetyl)pyrrolidine-2-carbonitrile,C7H9ClN2O,207557-35-5,10 g,Nanolab (In Lab Refrigerator),Store code: O5-47
"1,1,1,3,3,3-Hexafluoro-2-propanol",C3H2F6O,920-66-1,,Chemical Store (V11A),Store code: Y1-14
"1,1,1,3,3,3-Hexamethyldisilazane (HMDS)",C6H19NSi2,999-97-3,25 mL,Chemical Store (V11A),Store code: Y1-08
2-(Methylamino)ethanol,C3H9NO,109-83-1,2 L,Chemical Store (V11A),Store code: O2-11
2-Amino-1-butanol,C4H11NO,96-20-8,500 mL,Chemical Store (V11A),Store code: O2-13
4-Nitrophenol,C6H5NO3,100-02-7,25 g,Biological Lab,Store code: Y2-28
8-Hydroxyquinoline,C9H7NO,148-24-3,25 g,Chemical Store (V11A),Store code: Y2-23
Acetic Acid,CH3COOH,64-19-7,,Chemical Store (V11A),Store code: O1-11
Acetone,C3H6O,67-64-1,2.5 L,Chemical Store (V11A),Store code: Y1-13
Acrylic Acid,C3H4O2,79-10-7,,Chemical Store (V11A),Store code: Y1-15
Aluminium Chloride Hexahydrate,AlCl3⋅6H2O,7784-13-6,500 g,Chemical Store (V11A),Store code: O1-01
Aluminium Nitrate Nonahydrate,Al(NO3)3⋅9H2O,7784-27-2,500 g,Chemical Store (V11A),Store code: O3-01
Aluminium Oxide,AlO,1344-28-1,1 kg,Chemical Store (V11A),Store code: O4-01
Amaranth (Acid Red 27),C20H11N2Na3O10S3,915-67-3,100 g,Chemical Store (V11A),Store code: O5-27
Ammonium Chloride,NH4Cl,12125-02-9,100 g,Chemical Store (V11A),Store code: O4-02
Ammonium Fluoride,NH4F,12125-01-0,500 g,Chemical Store (V11A),Store code: O2-01
Ammonium Hydrogen Carbonate,NH4HCO3,1066-33-7,,Chemical Store (V11A),Store code: O4-03
Ammonium Metatungstate Hydrate,(NH4)6H2W12O40⋅xH2O,12333-11-8,100 g,Chemical Store (V11A),Store code: O5-28
Ammonium Sulfate,(NH4)2SO4,7783-20-2,500 g,Chemical Store (V11A),Store code: O5-24
Barium Nitrite,Ba(NO2)2,13465-94-6,,Chemical Store (V11A),Store code: O3-02
Barium Oxide,BaO,1304-28-5,,Chemical Store (V11A),Store code: O2-02
Bismuth(III) Nitrate Pentahydrate,Bi(NO3)3⋅5H2O,10035-06-0,100 g,Chemical Store (V11A),Store code: O3-16
Borane Ammonia Complex,BH3NH3,13774-81-7,,Chemical Store (V11A),Store code: Y1-01
Boric Acid,H3BO3,10043-35-3,x1 | 2 kg,V11A | Cryolab,Store code: Y2-01
Brilliant Blue R,C45H44N3NaO7S2,6104-59-2,,Chemical Store (V11A),Store code: O4-04
Cadmium Chloride / Hydrate,CdCl2⋅xH2O,10108-64-2,x1 | 500 g,V11A | Bio Lab,Store code: Y2-02
Cadmium Fluoride,CdF2,7790-79-6,,Chemical Store (V11A),Store code: Y2-03
Cadmium Nitrate Tetrahydrate,Cd(NO3)2⋅4H2O,10022-68-1,,Chemical Store (V11A),Store code: Y2-04
Calcium Carbonate,CaCO3,471-34-1,,Chemical Store (V11A),Store code: O4-05
Calcium Iodide Tetrahydrate,CaI2⋅4H2O,10102-68-8,,Chemical Store (V11A),Store code: O4-06
Calcium Nitrate Tetrahydrate,Ca(NO3)2⋅4H2O,13477-34-4,25 mL,Chemical Store (V11A),Store code: O3-17
Carbon Disulfide,CS2,75-15-0,1 L,Chemical Store (V11A),Store code: Y1-17
Carboxymethyl Cellulose Sodium,Polymer,9004-32-4,,Chemical Store (V11A),Store code: O4-07
Cerium(III) Nitrate Hexahydrate,Ce(NO3)3⋅6H2O,10294-41-4,100 g,Cryolab,Store code: O3-23
Chitin,(C8H13O5N)n,1398-61-4,,Chemical Store (V11A),Store code: O5-22
Chromium(II) Chloride,CrCl2,10049-05-5,25 g,Chemical Store (V11A),Store code: O1-07
Chromium(III) Chloride Hexahydrate,CrCl3⋅6H2O,10060-12-5,,Chemical Store (V11A),Store code: O1-02
Chromium(III) Potassium Sulfate Dodecahydrate,CrK(SO4)2⋅12H2O,7788-99-0,,Chemical Store (V11A),Store code: Y2-08
Cobalt(II) Chloride Hexahydrate,CoCl2⋅6H2O,7791-13-1,50 g,Cryolab,Store code: Y2-30
Cobalt(II) Nitrate,Co(NO3)2⋅6H2O,10026-22-9,,Chemical Store (V11A),Store code: O3-03
Cobalt(II) Sulfate Heptahydrate,CoSO4⋅7H2O,10026-24-1,x2,Chemical Store (V11A),Store code: Y2-05
Congo Red,C32H22N6Na2O6S2,573-58-0,,Chemical Store (V11A),Store code: Y2-06
Copper Phthalocyanine,Pigment Blue 15,147-14-8,,Chemical Store (V11A),Store code: O4-09
Copper(II) Chloride Dihydrate,CuCl2⋅2H2O,10125-13-0,500 g,Biological Lab,Store code: Y2-26
Copper(II) Nitrate Trihydrate,Cu(NO3)2⋅3H2O,10031-43-3,x1 | 1 kg,V11A | Bio Lab,Store code: O3-04
Copper(II) Oxide,CuO,1317-38-0,,Chemical Store (V11A),Store code: O4-08
Copper(II) Perchlorate Hexahydrate,Cu(ClO4)2⋅6H2O,10294-46-9,,Chemical Store (V11A),Store code: O3-05
Copper(II) Sulfate,CuSO4,231-967-6,,Chemical Store (V11A),Store code: O4-10
Cupferron,C6H9N3O2,135-20-6,,Chemical Store (V11A),Store code: Y2-07
Dicyandiamide,C2H4N4,461-58-5,50 g,Chemical Store (V11A),Store code: O5-25
Dimethyl Sulfoxide (DMSO),C2H6OS,67-68-5,50 mL,Chemical Store (V11A),Store code: O5-36
DL-Phenylalanine,C9H11NO2,150-30-1,100 g,Chemical Store (V11A),Store code: O5-02
Dodecacarbonly Triiron,Fe3(CO)12,17685-52-8,10 g,Chemical Store (V11A),Store code: Y1-02
Dopamine Hydrochloride,C8H11NO2⋅HCl,62-31-7,,Chemical Store (V11A),Store code: Y2-09
Ethanolamine,C2H7NO,141-43-5,500 mL,Chemical Store (V11A),Store code: O2-12
Ethylene Glycol,C2H6O2,107-21-1,2 L,Chemical Store (V11A),Store code: O5-35
Ferric Chloride,FeCl3⋅6H2O,10025-77-1,,Chemical Store (V11A),Store code: O1-03
Ferric Chloride (Anhydrous),FeCl3,7705-08-0,500 g | 500 g,V11A | Biol Lab,Store code: O1-15
Ferric Nitrate Nonahydrate,Fe(NO3)3⋅9H2O,7782-61-8,500 g,Biological Lab,Store code: O3-21
Ferrocene,Fe(C5H5)2,102-54-5,,Chemical Store (V11A),Store code: O4-12
Gadolinium Acetate Trihydrate,Gd(CH3COO)3⋅3H2O,100587-93-7,25 g,Chemical Store (V11A),Store code: O5-26
Glycerol,C3H8O3,56-81-5,,Chemical Store (V11A),Store code: O5-40
Gold Pellet,Au,7440-57-5,,Chemical Store (V11A),Store code: O5-34
